phase angle (phi_L),L0,<thrust>,"<power,input>",efficiency,<|LES|>,Strouhal Number (St)
0.9519977738150888,0.675,0.06975856827200566,0.22001655806852727,0.317060538008591,0.5586483682976578,0.07735987755982988
1.0947974398873521,0.675,0.05745294345238921,0.22595713003688447,0.2542647954636828,0.553668456086078,0.07735987755982988
1.2375971059596154,0.675,0.045310127688069544,0.23476895633523212,0.19299880356996665,0.5510594499791002,0.07735987755982988
1.3803967720318786,0.675,0.033597164925238926,0.24628682575580102,0.13641478719836714,0.5509465689486555,0.07735987755982988
1.523196438104142,0.675,0.022577230941905144,0.26028287951182666,0.08674112943674916,0.5533450282319154,0.07735987755982988
1.6659961041764055,0.675,0.012501342810876056,0.27647146861683075,0.04521747894428124,0.5581741991599465,0.07735987755982988
1.8087957702486688,0.675,0.0036011019247795184,0.29451431140360135,0.0122272561479859,0.5652542152959393,0.07735987755982988
1.951595436320932,0.675,-0.003917483950172068,0.3140277965193016,-0.012474959202954765,0.574324710598633,0.07735987755982988
2.0943951023931953,0.675,-0.00987981381821019,0.33459217380259293,-0.02952792860014476,0.5850837022059566,0.07735987755982988
0.5235987755982988,0.9,0.13258214185057535,0.1861596613950433,0.7121958691643038,0.5741476181147971,0.07735987755982988
0.6663984416705622,0.9,0.1170711078769696,0.1825438576442032,0.6413314005073415,0.5595184647185553,0.07735987755982988
0.8091981077428254,0.9,0.10072306017855359,0.18304615105249947,0.5502604649122899,0.5469430015150498,0.07735987755982988
0.9519977738150888,0.9,0.08401078311480438,0.18742498520850726,0.4482368400421307,0.5368782112052518,0.07735987755982988
1.0947974398873521,0.9,0.06719878110270427,0.19578146613625685,0.3432336187325124,0.5298305178737344,0.07735987755982988
1.2375971059596154,0.9,0.050655404407973004,0.20799004212516847,0.2435472577936619,0.5262005585095884,0.07735987755982988
1.3803967720318786,0.9,0.03475680620981829,0.2238237818611428,0.15528647546211571,0.5262253842915313,0.07735987755982988
1.523196438104142,0.9,0.019866661327755122,0.24297298246797966,0.08176489882109943,0.5299320120095985,0.07735987755982988
