phase angle (phi_L),reduced frequency f*,<thrust>,"<power,input>",efficiency,<|LES|>,Strouhal Number (St)
4.569589314312426,0.4,0.8425821813488207,2.110873709321764,0.3991627626171663,1.239546822720899,0.15471975511965977
5.140787978601479,0.4,1.0286411604913372,1.9779171843172882,0.5200628057874881,1.1989089152511632,0.15471975511965977
5.711986642890533,0.4,1.0345572517202861,1.6028787363106893,0.6454370054852083,1.1505596593144296,0.15471975511965977
6.283185307179586,0.4,1.026368038967206,1.2449460771579204,0.8244277063873282,1.0518302180443964,0.15471975511965977
0.0,0.6000000000000001,2.1537178596896758,2.691391595798498,0.8002246358544856,1.3734761273380651,0.23207963267948967
0.5711986642890533,0.6000000000000001,2.1175863741090537,2.1577840132785515,0.9813708698729205,1.2522312026650961,0.23207963267948967
1.1423973285781066,0.6000000000000001,2.00512041863194,1.0606214437505441,1.8905146887672581,1.1071406479341026,0.23207963267948967
1.7135959928671598,0.6000000000000001,1.7618438546336854,-0.20159199705206296,-8.739651773868152,0.9688342397998925,0.23207963267948967
2.284794657156213,0.6000000000000001,1.569547632083178,1.3470584450900889,1.1651666917675643,1.2210269345348106,0.23207963267948967
2.8559933214452666,0.6000000000000001,1.2662735285521804,2.106650090725341,0.6010839361159354,1.3437335252669294,0.23207963267948967
3.4271919857343196,0.6000000000000001,1.222696810006033,1.7569366384984915,0.6959253869570224,1.4330758868155808,0.23207963267948967
3.998390650023373,0.6000000000000001,1.4956971889063055,3.651726070422731,0.4095863600013023,1.577139865601459,0.23207963267948967
4.569589314312426,0.6000000000000001,1.8320386740331558,4.621650653226007,0.3964035387993584,1.5794210563217204,0.23207963267948967
5.140787978601479,0.6000000000000001,2.107616911236885,4.597214328467306,0.45845522106417796,1.5960035831488673,0.23207963267948967
5.711986642890533,0.6000000000000001,2.33352536583419,3.6084190392513182,0.646689129075861,1.4803992437119302,0.23207963267948967
6.283185307179586,0.6000000000000001,2.1423000098332707,2.8064342249943928,0.7633530088657435,1.3781168441643923,0.23207963267948967
